flight_id,aircraft_id,orig_code,dest_code,dep_hhmm,arr_hhmm,dep_min,arr_min,pax,capacity,load_factor,duration_min,route_str
V0525,AC_090,SA,SP,17:00,19:00,1020,1140,200,200,1.0,120,SA->SP
V0510,AC_029,SP,BH,17:00,18:00,1020,1080,200,200,1.0,60,SP->BH
V0514,AC_085,SP,BR,17:00,19:00,1020,1140,200,200,1.0,120,SP->BR
V0509,AC_012,SP,PA,17:00,19:00,1020,1140,200,200,1.0,120,SP->PA
V0527,AC_162,SP,RJ,17:00,18:00,1020,1080,200,200,1.0,60,SP->RJ
V0550,AC_174,BE,NA,18:00,20:00,1080,1200,100,200,0.5,120,BE->NA
V0547,AC_172,BH,BR,18:00,19:00,1080,1140,200,200,1.0,60,BH->BR
V0540,AC_115,BR,BH,18:00,19:00,1080,1140,200,200,1.0,60,BR->BH
V0536,AC_218,BR,NA,18:00,21:00,1080,1260,100,200,0.5,180,BR->NA
V0537,AC_048,BR,SA,18:00,20:00,1080,1200,200,200,1.0,120,BR->SA
V0542,AC_133,BR,SP,18:00,20:00,1080,1200,200,200,1.0,120,BR->SP
V0535,AC_201,CR,RE,18:00,22:00,1080,1320,200,200,1.0,240,CR->RE
V0529,AC_078,FL,PA,18:00,19:00,1080,1140,100,200,0.5,60,FL->PA
V0544,AC_187,FL,SP,18:00,19:00,1080,1140,100,200,0.5,60,FL->SP
V0549,AC_221,NA,RJ,18:00,22:00,1080,1320,200,200,1.0,240,NA->RJ
V0534,AC_132,PA,RJ,18:00,21:00,1080,1260,200,200,1.0,180,PA->RJ
V0539,AC_175,RE,SP,18:00,21:00,1080,1260,200,200,1.0,180,RE->SP
V0545,AC_243,RJ,BH,18:00,19:00,1080,1140,200,200,1.0,60,RJ->BH
V0548,AC_142,RJ,CR,18:00,20:00,1080,1200,200,200,1.0,120,RJ->CR
V0532,AC_128,RJ,FL,18:00,20:00,1080,1200,200,200,1.0,120,RJ->FL
V0546,AC_050,RJ,SP,18:00,19:00,1080,1140,200,200,1.0,60,RJ->SP
V0533,AC_086,SA,RE,18:00,20:00,1080,1200,200,200,1.0,120,SA->RE
V0531,AC_039,SA,SP,18:00,20:00,1080,1200,100,200,0.5,120,SA->SP
V0541,AC_037,SP,BH,18:00,19:00,1080,1140,200,200,1.0,60,SP->BH
V0538,AC_010,SP,FO,18:00,22:00,1080,1320,200,200,1.0,240,SP->FO
V0543,AC_166,SP,PA,18:00,20:00,1080,1200,200,200,1.0,120,SP->PA
V0530,AC_184,SP,RJ,18:00,19:00,1080,1140,200,200,1.0,60,SP->RJ
V0566,AC_066,BE,CI,19:00,22:00,1140,1320,100,200,0.5,180,BE->CI
V0558,AC_181,BE,MA,19:00,21:00,1140,1260,200,200,1.0,120,BE->MA
V0564,AC_153,BH,RE,19:00,22:00,1140,1320,200,200,1.0,180,BH->RE
V0559,AC_102,BH,SP,19:00,20:00,1140,1200,200,200,1.0,60,BH->SP
V0565,AC_069,BR,SA,19:00,21:00,1140,1260,200,200,1.0,120,BR->SA
V0561,AC_002,FO,BH,19:00,22:00,1140,1320,100,200,0.5,180,FO->BH
V0563,AC_038,FO,BR,19:00,22:00,1140,1320,200,200,1.0,180,FO->BR
V0567,AC_169,FO,MA,19:00,22:00,1140,1320,200,200,1.0,180,FO->MA
V0551,AC_035,MA,BE,19:00,21:00,1140,1260,200,200,1.0,120,MA->BE
V0553,AC_059,RE,FO,19:00,20:00,1140,1200,100,200,0.5,60,RE->FO
V0552,AC_212,RJ,BR,19:00,21:00,1140,1260,200,200,1.0,120,RJ->BR
V0557,AC_091,RJ,CR,19:00,21:00,1140,1260,200,200,1.0,120,RJ->CR
V0554,AC_228,RJ,RE,19:00,22:00,1140,1320,200,200,1.0,180,RJ->RE
V0568,AC_110,RJ,SP,19:00,20:00,1140,1200,200,200,1.0,60,RJ->SP
V0555,AC_242,SA,RE,19:00,21:00,1140,1260,100,200,0.5,120,SA->RE
V0562,AC_125,SP,CR,19:00,20:00,1140,1200,200,200,1.0,60,SP->CR
V0560,AC_094,SP,RJ,19:00,20:00,1140,1200,200,200,1.0,60,SP->RJ
V0556,AC_030,SP,SA,19:00,21:00,1140,1260,200,200,1.0,120,SP->SA
V0576,AC_191,BE,MA,20:00,22:00,1200,1320,200,200,1.0,120,BE->MA
V0573,AC_037,BH,BR,20:00,21:00,1200,1260,200,200,1.0,60,BH->BR
V0578,AC_138,BH,CR,20:00,22:00,1200,1320,100,200,0.5,120,BH->CR
V0575,AC_115,BH,SP,20:00,21:00,1200,1260,200,200,1.0,60,BH->SP
V0569,AC_131,BR,SA,20:00,22:00,1200,1320,100,200,0.5,120,BR->SA
V0582,AC_146,BR,SP,20:00,22:00,1200,1320,200,200,1.0,120,BR->SP
V0579,AC_011,FL,SP,20:00,21:00,1200,1260,200,200,1.0,60,FL->SP
V0570,AC_179,FO,BE,20:00,22:00,1200,1320,150,200,0.75,120,FO->BE
V0571,AC_009,RJ,SP,20:00,21:00,1200,1260,200,200,1.0,60,RJ->SP
V0577,AC_129,SA,FO,20:00,22:00,1200,1320,100,200,0.5,120,SA->FO
V0580,AC_114,SP,BR,20:00,22:00,1200,1320,200,200,1.0,120,SP->BR
V0572,AC_050,SP,CR,20:00,21:00,1200,1260,200,200,1.0,60,SP->CR
V0574,AC_090,SP,RJ,20:00,21:00,1200,1260,200,200,1.0,60,SP->RJ
V0581,AC_187,SP,SA,20:00,22:00,1200,1320,200,200,1.0,120,SP->SA
V0583,AC_243,BH,SP,21:00,22:00,1260,1320,200,200,1.0,60,BH->SP
